18	United States	Acellera Ltd	ACEMD	https://www.acellera.com/products/molecular-dynamics-software-gpu-acemd/	GPU simulation of molecular mechanics force fields, implicit and explicit solvent
19	United States	University of Florida	ACES 4	http://www.qtp.ufl.edu/ACES/	New SIA/aces4 development A new super instruction architecture with interface applications for quantum chemistry (aces4).
20	United States	University of Florida	ACES III	http://www.qtp.ufl.edu/ACES/	ACES III takes the best features of parallel implementations of quantum chemistry methods for electronic structure.
21	United States	Adobe	Acrobat	https://acrobat.adobe.com/us/en/acrobat.html	Apps & web services to view, create, manipulate, print and manage files in PDF (Portable Document Format)
22	United States	MSC Software	Actran	http://www.fft.be/news/msc-softwares-actran-awarded-2017-institute-acoustics-peter-lord-award	Simulation of acoustics propagation at high frequency or in huge domains such as exhaust of turbomachines, full truck cabin exterior acoustics, and ultrasonic parking sensors.
23	Canada	Ada Support Inc.	Ada's Brand Interaction Platform	https://www.ada.cx/	With a no-code builder and a suite of out-of-the-box integrations, Ada’s brand interaction platform  is for customer support, marketing, sales, and IT, automating conversation topics across many digital channels within a single platform.
24	United States	MSC Software	Adams	http://www.mscsoftware.com/product/adams	Multi-Body Dynamics simulation software
25	United States	SunGard	Adaptiv Analytics	https://www.sungard.com/~/media/fs/capital-markets/resources/brochures-datasheets/Adaptiv-Analytics-Vectorized-Simulation-Architecture-fact-sheet.ashx?sfdcCampaignId=70150000000Z2m7	A flexible and extensible engine for fast calculations of a wide variety of pricing and risk measures on a broad range of asset classes and derivatives.
26	United States	Dyndrite	Additive Mfg Toolkit	https://www.dyndrite.com/about	Dyndrite has developed a GPU-based geometry kernel with CUDA. The initial application for this kernel is an Additive Manufacturing Toolkit which speeds up the process of 3D printing, especially for complex parts.
27	United States	Software for Chemistry & Materials	ADF	https://www.scm.com/adf-modeling-suite/	Density Functional Theory (DFT) software package that enables first-principles electronic structure calculations.
28	United States	Topaz Labs	Adjust AI	https://topazlabs.com/adjust-ai/	Adjust AI is a one click application that leverages the power of machine learning to intelligently enhance photos.
29	United States	ADSCFD, Inc.	ADS Flow Solver - Code LEO	http://www.aerodynamic-solutions.com/	A Compressible, explicit time-marching CFD solver for aerospace applications.  Capable of handling both internal and external flows with robustness and accuracy
30	Singapore	ADVANCE.AI	Advance.AI	https://advance.ai/	eKYC platform provides contactless verified customer onboarding as a market place for various business and use cases.
31	United States	KeySight	Advanced Design System (ADS)	http://www.keysight.com/en/pc-1297113/advanced-design-system-ads?nid=-34346.0&cc=US&lc=eng	Simulation tool for design of RF, microwave and high speed digital circuits
32	United States	DigitalGlobe	Advanced Ortho Series	https://www.digitalglobe.com/products/advanced-ortho-series	Geospatial visualization
33	United Kingdom	Affinity	Affinity Photo	https://affinity.serif.com/en-us/photo/desktop/	A fast and precise image editing software for photography and creative professionals, from editing and retouching images, creating full-blown multi-layered compositions, to making beautiful raster paintings.
34	United States	Adobe	After Effects	http://www.adobe.com/products/aftereffects.html	Motion graphics and effects
35	France	Autokroma	AfterCodecs	https://autokroma.com/AfterCodecs/	AfterCodecs plugins for Adobe CC, providing the best and missing codecs for faster exports.
36	United States	Hotpot.ai	AI Art Personalization	https://hotpot.ai/personalize-art?s=site-menu	Turn pictures into personalized art with AI. Invigorate boring selfies, pet photos, and vacation pictures by reimagining them with different artistic styles. From Van Gogh to pixel art to Chinese paintings, mix and match disparate styles to generate captivating, customized images.
37	United States	Hotpot.ai	AI Background Remover	https://hotpot.ai/remove-background?s=site-menu	Remove the background from images with AI in seconds. Our AI is tuned for extracting products and people and automatically erases the background. Hotpot helps e-commerce stores, marketing agencies, and other organizations automate the rote task of background removal
38	United States	Hotpot.ai	AI Graphic Enlarger	https://hotpot.ai/enlarge-picture?s=site-menu	Enlarge pictures, game assets, textures, and other graphics in seconds. Our AI upscaler can create images of higher resolution without losing quality and is optimized for e-commerce stores, app graphics, and photo prints.
39	United States	Frenzy	AI Image Labeling	https://frenzy.ai/a-i-image-labeling/	Builds robust self-labeling training datasets for classifying exact objects and products in visual scenes at a fraction of the time and cost
40	United Kingdom	Clarifai	AI Lifescycle	https://www.clarifai.com/developer/	Clarifai brings a new level of understanding to visual content through deep learning technologies. Uses GPUs to train large neural networks to solve practical problems in advertising, media, and search across a wide variety of industries such as automated tagging, visual search, and recommendation engine, predictive maintenance, demographic analysis and more.
41	United States	Hotpot.ai	AI Picture Colorizer	https://hotpot.ai/colorize-picture?s=site-menu	Colorize pictures with AI, turning black and white photos to color in seconds. Reimagine the past by colorizing pictures of ancestors and historic figures. Our technology is currently based on DeOldify and proprietary enhancements.
42	United States	Hotpot.ai	AI Picture Restorer	https://hotpot.ai/restore-picture?s=site-menu	Restore pictures with AI in seconds. Hotpot builds on the latest research to automatically remove scratches, sharpen colors, and enhance faces, transforming tattered photos into cherished memories. Repair both faded color photos and worn black & white photos.
43	United States	American College of Radiology	AI-LAB	https://ailab.acr.org/	ACR AI-LAB offers radiologists tools designed to help them learn the basics of AI and participate directly in the creation, validation and use of health care AI. It accelerates the development and adoption of artificial intelligence (AI) in clinical practice, empowering radiologists to create AI tools at their own institutions, to meet their own patient needs.
44	United States	IronYun	AI-NVR	https://ironyun.com/products/ai-nvr/	Search in Video, Real time intrusion detection
45	United States	Tracxpoint	AIC	https://www.tracxpoint.com/cart	AIC (Artificial Intelligence Cart) revolutionizes the supermarket shopping experience with sensor fusion and machine learning technology.
46	Singapore	Aida Technologies Pte Ltd	Aida	www.aidatech.io	Suite of Smart AI and machine learning products are providing leading insurance companies and banks in the financial services industry with the tools they need to accelerate processes, identify revenue, drive cost reductions and anticipate evolving risk. Making intelligent sense of data is what AiDA Technologies does best.
47	Israel	Aidoc Medical	aidoc	https://www.aidoc.com/	AI based decision support software analyzing medical imaging to provide solutions for detecting acute abnormalities across the body, helping radiologists prioritize life threatening cases and expedite patient care. Agnostic to PACS and RIS systems
48	United States	AiFi Inc.	AiFi Nano	http://aifi.io/#	Cashier-free (like Amazon grab and go solution) and stock out retail software
49	Finland	Aiforia	Aiforia Create	https://www.aiforia.com/aiforia-create	Cloud-based deep learning AI software enabling healthcare professionals to create and deploy AI models, without the need to code, for analyzing large and complex medical images across a variety of areas from neuroscience to oncology — increasing the speed and accuracy of for example grading tumors or identifying neurons.
50	Germany	Cinegy	Air	https://home.cinegy.com/index.php/products/playout-and-automation/cinegy-type	Broadcast play-out server
51	United States	Grass Valley	Alchemist on Demand	https://s-a-m.com/products/alchemist-xf-/c-24/p-581	Video standards conversion
52	United States	QuantAleas	Alea.cuBase F#	http://www.quantalea.net/	F# package enabling a growing set of F# capability to run on a GPU.
53	Singapore	Alem Health	ALEMHEALTH	www.alemhealth.com	The product provides Integrated Teleradiology Solution for the Entire Radiology Workflow. It comes with Efficient Hardware, Intelligent RIS/PACS Software and Teleradiology Reporting Services as all on one Platform Solution.
54	Singapore	Alem Health	AlemHealth	https://www.alemhealth.com/	Alem Health provides Integrated Teleradiology Solution for the Entire Radiology Workflow. The solution includes Efficient Hardware, Intelligent RIS/PACS Software and Teleradiology Reporting Services, with all on one Platform Approach.
55	United States	Irvine Sensors	Alert	http://www.alert.ai	Alert provides people counting and intrusion detection
56	United States	Algorithmia	Algorithmia Enterprise	https://algorithmia.com/product	Algorithmia Enterprise automates and accelerates delivery of your ML models into production, driving a process of continuous optimization across all stages of the ML lifecyle within existing operational processes.
57	Canada	Autodesk	Alias	www.autodesk.com	Highly accurate design software for creating Class-A surfaces, primarily used for automotive design
58	United States	Allganize, Inc.	Allganize NLU APIs for Enterprises	https://alli.allganize.ai/	Natural Language Understanding APIs for enterprise: Answer-bot based on documents with unstructured data (text + table), e.g., manuals, instructions, FAQ documents; Review analysis; sentiment analysis, summarizing etc. Provided as APIs.
59	Germany	Nemetschek ALLPLAN	ALLPLAN	www.allplan.com/en	Complete Building Information Modeling (BIM) for Architecture, Engineering, and Construction.
60	Finland	AlphaSense	AlphaSense	https://www.alpha-sense.com/	PaaS for Financial analysis based on public corporate information. Geared at financial analysts within financial services.. Allows very fast searches of public corporate information, and allows questing answering format ("the Google for Analyst research")
61	Austria	Essteyr	alsim PaintShop E-Coating	https://www.essteyr.com/alsim-paintshop	Prediction of paint thickness on the automotive body-in-white or components. Simulates the complete process taking into consideration fluid dynamics and electric potential in the paint line.
62	Austria	Essteyr	alsim PaintShop Floodwaxing	https://www.essteyr.com/3d-flip-book/alsim-paint-shop-brochure/	Estimation of wax coating thickness through the assessment of contact between hot wax and cavity surfaces in a automotive body-in-white. Simulates low Reynolds number fluid flow in cavity regions based on industrial paint shop processes.
63	Austria	Essteyr	alsim PaintShop Oven	https://www.essteyr.com/3d-flip-book/alsim-paint-shop-brochure/	Estimation of surface temperature and by simulating the baking process in automotive paint shop. Simulates the aerodynamics and thermodynamics in ovens configured for different stages in the paint line.
64	United States	Altair	Altair Access	https://www.pbsworks.com/PBSProduct.aspx?n=Altair-Access&c=Overview-and-Capabilities	A simple, powerful, and consistent portal for submitting and monitoring jobs on remote clusters and clouds, and for remote visualization. Brings high-end 3D visualization datacenter hardware right to the user.
65	United States	Altair	Altair AcuSolve	https://altairhyperworks.com/product/AcuSolve	Computational Fluid Dynamics (CFD) tool, providing users with a full range of physical models. Simulations involving flow, heat transfer, turbulence, and non-Newtonian materials are handled with ease by AcuSolve's robust and scalable solver technology.
66	United States	Altair	Altair EDEM	https://www.edemsimulation.com/	Software for bulk material simulation that uses the Discrete Element Modeling (DEM) technology to simulate and analyze behavior of bulk materials
67	United States	Altair	Altair Feko	http://www.altairhyperworks.com/product/FEKO	Comprehensive computational electromagnetics (CEM) code used widely in the telecommunications, automobile, space and defense industries to solve high-frequency problems.
68	United States	Univa	Altair Grid Engine	https://www.altair.com/grid-engine/	Altair Grid Engine is a leading distributed resource management system for optimizing workloads and resources in thousands of data centers. Improves performance, productivity and efficiency. Optimizes throughput and performance of applications, containers, and services while maximizing shared compute resources across on-premises, hybrid, and cloud infrastructures.
69	United States	Altair	Altair HyperWorks	https://altairhyperworks.com/About-Hyperworks	Comprehensive, open architecture CAE simulation suite in the industry, offering the best technologies to design and optimize high performance, weight efficient and innovative products. It includes a full set of modeling and visualization tools.
70	United States	Altair	Altair nanoFluidX	https://altairhyperworks.com/product/nanofluidx	State-of-the-art particle-based (SPH) fluid dynamics code for simulation of single and multiphase flows in complex geometries with complex motion.
71	United States	Altair	Altair OptiStruct	http://www.altairhyperworks.com/product/OptiStruct	Industry proven, modern structural analysis solver for linear and nonlinear problems under static and dynamic loadings. It is also the market-leading solution for structural design and optimization.
72	United States	Altair	Altair PBS Professional	https://www.altair.com/pbs-professional/	PBS Professional is a fast, powerful workload manager designed to improve productivity, optimize utilization and efficiency, and simplify administration for clusters, clouds, and supercomputers. Supports biggest HPC workloads to millions of small, high-throughput jobs. PBS Professional automates job scheduling, management, monitoring, and reporting, and it's the trusted solution for complex Top500 systems as well as smaller clusters.
73	United States	Altair	Altair Thea Render	https://www.thearender.com/site/index.php/products.html	Physically-based progressive spectral CPU/GPU Renderer supporting fast interactive changes and bucket rendering for high resolution images
74	United States	Altair	Altair ultraFluidX	https://altairhyperworks.com/product/ultrafluidx	Simulation tool for ultra-fast prediction of the aerodynamic properties of passenger and heavy-duty vehicles as well as for the evaluation of building and environmental aerodynamics.
75	United States	Always AI	AlwaysAI	https://learn.alwaysai.co/beta-web?utm_referrer=https%3A%2F%2Falwaysai.co%2Fabout-us%2F	Easy-to-use platform to build and deploy computer vision applications for embedded devices at the edge. Apply for an early access on the product link
76	Spain	Barcelona Supercomputing Center	ALYA	www.bsc.es/es/computer-applications/alya-system	Alya is a high performance computational mechanics code to solve complex coupled multi-physics / multi-scale problems, which are mostly coming from the engineering realm.
77	United States	University of California at San Francisco	AMBER	www.ambermd.org	Suite of programs to simulate molecular dynamics on biomolecule.
78	United States	Dalet	Amberfin	http://www.dalet.com/platforms/amberfin	Transcoding and video quality analysis
79	United States	IPsoft	Amelia	https://amelia.ai/interview/	Amelia is a conversational AI platfrom that provides chatbots (audio,text) to verity of use cases: customer care, banking, healthcare and IT help.
80	United States	Thermo fisher Scientific	Amira	https://www.fei.com/software/amira-3d-for-life-sciences/	A multifaceted software platform for visualizing, manipulating, and understanding Life Science and bio-medical data.
81	Germany	AdditiveWorks	Amphyon	https://additive.works/	Simulation-based process software for powder bed based, laser beam melting additive manufacturing processes
82	United States	Grass Valley	AMPP	https://www.grassvalley.com/products/cloud-based-workflows/cloud-based-workflows/gv-ampp/	High performance professional live production platform, enabling live production on premises and the cloud.
83	United States	Anaconda	Anaconda Distribution	https://www.anaconda.com/products/individual	The open-source Anaconda Distribution is the easiest way to perform Python/R data science and machine learning on Linux, Windows, and Mac OS X. Developed for solo practitioners, it is the toolkit that equips you to work with thousands of open-source packages and libraries.
84	United States	Anaconda	Anaconda Enterprise Edition	https://www.anaconda.com/products/enterprise	The end-to-end data science platform. The Anaconda enterprise platform is a comprehensive foundation for any organization that wants to use data science and machine learning to make better decisions and build differentiating solutions.
85	United States	GNS	Animator	https://gns-mbh.com/products/animator/	Industry proven, modern post-processing app for CAE
86	United States	Institut Pasteur	ANNA-PALM	https://annapalm.pasteur.fr	Accelerating Single Molecule Localization Microscopy with Deep Learning: ANNA-PALM is a computational method that can reconstruct super-resolution images from sparse single molecule localization data and/or widefield images. ANNA-PALM can produce high quality super-resolution images from data obtained in much shorter acquisition time than standard single molecule localization microscopy. By strongly reducing acquisition time, ANNA-PALM facilitates super-resolution imaging of large numbers of cells (high throughput imaging), large samples, and live cells.
87	Australia	annalise.ai	Annalise CXR Edge	www.annalise.ai	Annalise CXR Edge is a medical device intended to assist clinicians with the interpretation of radiological imaging studies and provide notification of suspected findings.
88	Singapore	annalise.ai	Annalise.AI	www.annalise.ai	Annalise Enterprise CXR is a comprehensive decision-support AI for chest x-ray that empower clinicians with Annalise CXR as a second pair of eyes detecting 124 findings.
89	United States	BETA CAE Systems	ANSA	https://www.beta-cae.com/ansa.htm	Multidisciplinary CAE pre-processing tool for full model build up, from CAD data to ready-to-run solver input file, in a single integrated environment
90	United States	AnswerRocket	AnswerRocket	https://www.answerrocket.com/platform/	AnswerRocket leverages AI and machine learning techniques to automate the hard work of business analysis, empowering teams to generate business intelligence and advanced analysis in seconds.
91	United States	ANSYS	Ansys AVxcelerate Sensors	https://www.ansys.com/products/systems/ansys-vrxperience	Predictive validation of vehicle systems for the optimization of intelligent headlamp units and sensors dedicated to ADAS and AD. Rapid and simple virtual test of systems and real-time and interactive driving simulator to virtually create, test and experience future vehicle driving in real-world like conditions.
92	United States	ANSYS	Ansys Discovery Live	https://www.ansys.com/products/3d-design/ansys-discovery-live	Interactive and CAD-agnostic Windows-based app that gives engineers instantaneous simulation results to help them explore and refine product designs
93	United States	ANSYS	Ansys EnSight	https://www.ansys.com/products/fluids/ansys-ensight	Industry proven post-processing app for CAE
94	United States	ANSYS	Ansys Fluent	http://www.ansys.com/Products/Fluids/ANSYS-Fluent	General purpose CFD software
95	United States	ANSYS	Ansys HFSS	http://www.ansys.com/products/electronics/ansys-hfss	Simulation tool for modeling 3-D full-wave electromagnetic fields in high-frequency and high-speed electronic components
96	United States	ANSYS	Ansys HFSS SBR+	http://www.ansys.com/products/electronics/ansys-hfss	Simulation tool for installed antenna performance and antenna-to-antenna coupling
97	United States	ANSYS	Ansys Icepak	https://www.ansys.com/products/electronics/ansys-icepak	CFD software for electronics thermal management
98	United States	ANSYS	Ansys Maxwell	http://www.ansys.com/products/electronics/ansys-maxwell	Industry-leading electromagnetic field simulation software for the design and analysis of electric motors, actuators, sensors, transformers and other electromagnetic and electromechanical devices
99	United States	ANSYS	Ansys Mechanical	http://www.ansys.com/products/structures/ansys-mechanical-enterprise	Simulation and analysis tool for structural mechanics
100	United States	ANSYS	Ansys Nexxim	http://www.ansys.com/products/electronics/ansys-siwave/siwave-capabilities	Circuit simulation engine for RF/analog/mixed-signal IC design, and IBIS-AMI analysis speedup with GPU computing.
101	United States	ANSYS	Ansys Polyflow	http://www.ansys.com/products/fluids/ansys-polyflow	CFD software for the analysis of polymer and glass processing
102	United States	ANSYS	Ansys SPEOS	https://www.ansys.com/products/optical/ansys-speos	Physically accurate optical simulation software dedicated to predictive illumination and optical performance of systems. High-fidelity visualization of the final result, based on unique human vision algorithm.
103	United States	ANSYS	Ansys VRXPERIENCE for HMI and Perceived Quality	https://www.ansys.com/products/systems/ansys-vrxperience	Predictive physics-based real time lighting simulation with VR capabilities to experience and validate the impact of your design proposition on appearance and perceived quality.
104	United States	ANSYS	Ansys VRXPERIENCE Headlamp	https://www.ansys.com/products/systems/ansys-vrxperience	Predictive development and validation of intelligent headlamp units. Virtual test of vehicle lighting systems, relying on physics-based simulation and seamless driving simulator integration to virtually create, test, and experience measurement lab and driving in real-world like conditions.
105	United States	ANSYS	Ansys Workbench	http://www.ansys.com/products/platform	Industry proven, modern pre- & post-processing app for CAE
106	United States	Antuit	Antuit Demand Planning and Forecasting	https://www.antuit.com/solutions/demand-forecasting-and-planning	Extracts maximum predictability from the available data. Proprietary "Dynamic Aggregation" logic with attribute-based disaggregation generates forecasts for all products, including new, slow-moving, and end-of-life. Spark and GPU clusters, along with optimized AI algorithms, provide scaling for the largest retailers. Incorporates all available demand drivers, such as price elasticities, promotional lifts, weather, and hyper-local event data.
107	Switzerland	Apache Mahout	Apache Mahout	http://mahout.apache.org/	Mahout is building an environment for quickly creating scalable performant machine learning applications.
108	United States	MSC Software	Apex	http://www.mscsoftware.com/product/msc-apex	Unified environment for virtual product development
109	United States	New York Structural Biology Center	Appion	http://emg.nysbc.org/redmine/projects/appion/wiki/Appion_Home	Appion is a "pipeline" for processing and analysis of EM images. Appion is integrated with Leginon data acquisition but can also be used stand-alone after uploading images (either digital or scanned micrographs) or particle stacks using a set of provided tools. Appion consists of a web based user interface linked to a set of python scripts that control several underlying integrated processing packages. All data input and output within Appion is managed using tightly integrated SQL databases. The goal is to have all control of the processing pipeline managed from a web based user interface and all output from the processing presented using web based viewing tools.
110	Poland	Applica	Applica	https://www.applica.ai/	Applica leverages deep learning methodologies to process documents and enables the precise answers required for complex business processes.
111	United States	ESRI	ArcGIS Pro	http://pro.arcgis.com/en/pro-app/	ArcGIS is geospatial software to view, edit, manage and analyze geographic data. ArcGIS is developed for mapping on desktop, mobile, and web.
112	Japan	Luminova Japan	Arch-Log	https://www.arch-log.com/	A web service based on NVIDIA Iray and RealityServer (from migenius) for rendering and configuring building materials.
113	Hungary	Nemetschek GRAPHISOFT	Archicad	www.graphisoft.com/	Complete Building Information Modeling (BIM) for Architecture, Engineering, and Construction.
114	Germany	Planet AI	ArgusSearch	http://www.planet.de/argussearch-keywordspotting-dokumentenklassifikation-kopie.html	Deep Learning driven document search tool.
115	United States	Johns Hopkins University	Arioc	https://github.com/RWilton/Arioc	High-throughput read alignment with GPU-accelerated exploration of the seed-and-extend search space.
116	United Kingdom	Arm	Arm Forge (formerly Allinea)	https://www.arm.com/products/development-tools/server-and-hpc/forge	Build reliable and optimized code for the right results on multiple Server and HPC architectures, from the latest compilers and C++ 11 standards including NVIDIA GPU hardware. Arm Forge combines Arm DDT, the leading debugger for time-saving high performance application debugging, Arm MAP, the trusted performance profiler for invaluable optimization advice across native and Python HPC codes, and Arm Performance Reports for advanced reporting capabilities.    Arm Forge Professional (DDT & MAP) providing all you will need to debug, profile and optimize for high performance from single threads through to complex parallel HPC and scientific codes with MPI, OpenACC, OpenMP, threads or NVIDIA CUDA applications.
117	Slovakia	Armory	ArmorPaint	https://armorpaint.org/	ArmorPaint is a software designed for physically-based texture painting. There is a standalone version, or you can use as an Armory3D project. Draw textures directly using node based materials and brushes.
118	Canada	Autodesk	Arnold	https://www.autodesk.com/products/arnold/overview	Solid Angle Arnold film and animation renderer
119	United States	ArrayFire	ArrayFire	https://arrayfire.com/	ArrayFire helps organizations develop high-performance computing solutions on modern computational platforms. Specializes in machine learning and computer vision. Uses CUDA and OpenCL programming, code acceleration and optimization, and software design.
120	Germany	ARRI	ARRI de-bayering SDK	http://www.arri.com/camera/alexa/tools/arriraw_converter/	RAW de-bayering SDK
121	United States	Artec 3D	Artec Leo	https://www.artec3d.com/portable-3d-scanners/artec-leo	A smart 3D scanner that enables you to see your object projected in 3D directly on the HD display.
122	United States	Deepwave Digital	Artificial Intelligence Radio Transceiver (AIR-T)	https://www.deepwavedigital.com/sdr	The Artificial Intelligence Radio Transceiver (AIR-T) is software defined radio designed and developed for RF deep learning applications. The app is equipped with three signal processors including a 256 core NVIDIA Jetson TX2, a field programmable gate array (FPGA), and dual embedded CPUs.
123	Singapore	Vidimension	ARVAS	http://vidimensions.com/	Security, Operations & Maintenanace, Safety
124	Singapore	VI Dimensions	Arvas	http://vidimensions.com/	ARVAS, is an Intelligent Video Analytics solution that uses advance statistical modelling based on deep machine learning technology to detect anomalies. This automated approach enables more accurate detection of complex risk pattern that would otherwise escape human analysts and caused high false alarm.
125	United States	ARYA.ai	ARYA.ai	https://arya.ai/solutions.php	Deep learning platform with end-to-end workflows for Enterprise, incorporating TensorFlow. Focuses on consumer banking and insurance industries.
126	Indonesia	Astra Digital International	Astra	https://www.seva.id/	eCommerce Platform that does vehicle identification, recognition and LPR. Currently used for their ecommerce car portal application
127	United States	Nvidia	AtacWorks	https://github.com/clara-genomics/AtacWorks	AtacWorks is a deep learning toolkit for coverage track denoising and peak calling from low-coverage or low-quality ATAC-Seq data.
128	United States	Rowbyte	Aura	https://www.rowbyte.com/aura	Aura is a procedural plug-in for After Effects that creates elegant geometric shapes in 3D space. It's akin to a particle system but instead of rendering small particles all over the place, it generates vector like shapes (waves) that change over time much like the classic Radiowaves plug-in.
129	United States	Aura Vision	Aura Vision	https://auravision.ai/	Capture unique insights from every visitor, using your existing cameras
130	United States	Tektronix	Aurora	http://www.tek.com/aurora	Automated video quality measurement
131	Israel	Minute.ly	Auto Preview Video	https://minute.ly/	Generating top content from videos, concentrating , automatically selecting video bits before and after the the top highlight  (e.g. touch down on NFL ) increasing views and engagement
132	Canada	Autodesk	AutoCAD	https://www.autodesk.com/products/autocad/overview	2D and 3D CAD designing, drafting, modeling, architectural drawing, and engineering software.
133	Canada	Autodesk	Autodesk Generative Design NetFabb	https://www.autodesk.com/products/netfabb/overview	Quickly generate high-performing design alternatives&#8212;many that you&#8217;d never think of on your own&#8212;from a single idea.
134	Canada	Autodesk	Autodesk Nastran	https://www.autodesk.com/solutions/generative-design?mktvar002=678907&mkwid=sNqhnYviC|pcrid|212601025165|pkw|autodesk%20generative%20design|pmt|e|pdv|c||&utm_medium=cpc&utm_source=google&utm_campaign=&utm_term=autodesk%20generative%20design&utm_content=sN	Autodesk Nastran FEA software analyzes linear and nonlinear stress, dynamics, and heat transfer characteristics of structures and mechanical components.
135	United States	Scripps	AUTODOCK	https://ccsb.scripps.edu/autodock	The AutoDock Suite is a growing collection of methods for computational docking and virtual screening, for use in structure-based drug discovery and exploration of the basic mechanisms of biomolecular structure and function.
136	United States	Focal Systems	Automated checkout	https://focal.systems/checkout	Focal's Product Recognition eliminates barcode scanning entirely at the cashier and achieves 99% accuracy on thousands of products.
137	United States	Capio	Automatic Speech Recognition	https://www.capio.ai/	In-house and Cloud-based speech recognition technologies
138	United Kingdom	Encord	Automating annotation for computer vision	encord.com	Developer of an algorithmic data labeling platform designed to automate manual annotation for computer vision. The company's suite of tools allows for seamless collaboration across roles and teams, from domain-expert annotators to project managers and machine learning engineers, enabling data scientists and researchers to algorithmically solve the problem of annotating training data for machine learning applications and avoid hours of manual labeling.
139	Israel	Seamless Vision	Autonomous Micromobility Solutions	https://www.seamless-vision.com	Autonomous Logistics Infrastructure for healthcare systems. Supplying an end-to-end solutions including the platform (which can be customized to your needs), Autonomous Navigation for Indoor and Outdoor Navigation in human dense environments, Operations Management System to control fleets of platforms and collect data as well as a unique intuitive user interface to leverage the power of autonomous logistics in the tips of your fingers.
140	China	Cloudpick	Autonomous Store	https://www.cloudpick.com/	Building upon computer vision, deep learning and multi-sensor integration technologies, Cloudpick developed proprietary patented behavior recognition and product learning algorithm engine Cloudpick++, which is able to accurately identify product information and customer shopping behaviors, and provide "Grab & Go, cashier-free payment" smart retail experience to global customers
141	Germany	NeuroDigital Technologies	Avatar VR	https://avatarvr.es/	Haptic VR gloves for training design or remote operation.
142	United States	Avaya	Avaya Spaces	https://www.avaya.com/en/products/ucaas/spaces/	Avaya Spaces connects you with all your people and tools—all in one place, as long as you need. Meet, call, chat, share files, manage tasks. All wrapped in real-time notifications.
